date,experiment,round,assay,condition,control,plate,row,col,strain,set,trait,phenotype
20140707,RIAILs,2,c,zinc,1percwater,18,B,3,QX245,2,median.EXT,-8.354818025352802
20140708,RIAILs,2,d,zinc,1percwater,18,B,3,QX399,2,median.EXT,58.11276072861032
20140714,RIAILs,2,e,zinc,1percwater,18,B,3,QX506,2,median.EXT,-11.783191633375532
20140715,RIAILs,2,f,zinc,1percwater,18,B,3,QX37,1,median.EXT,-99.01239477846173
20140721,RIAILs,2,g,zinc,1percwater,18,B,3,QX487,2,median.EXT,-6.74431641748305
20140722,RIAILs,2,h,zinc,1percwater,18,B,3,QX529,2,median.EXT,-54.30098205044262
20140630,RIAILs,2,a,zinc,1percwater,18,B,3,QX553,2,median.norm.EXT,-0.06619807740139075
20140701,RIAILs,2,b,zinc,1percwater,18,B,3,QX158,1,median.norm.EXT,-0.08790489465144036
20140707,RIAILs,2,c,zinc,1percwater,18,B,3,QX245,2,median.norm.EXT,-0.08721351371147844
20140708,RIAILs,2,d,zinc,1percwater,18,B,3,QX399,2,median.norm.EXT,-0.032085695709127976
20140714,RIAILs,2,e,zinc,1percwater,18,B,3,QX506,2,median.norm.EXT,-0.14175530690577978
20140715,RIAILs,2,f,zinc,1percwater,18,B,3,QX37,1,median.norm.EXT,-0.23589273002344657
20140721,RIAILs,2,g,zinc,1percwater,18,B,3,QX487,2,median.norm.EXT,-0.05609466213982184
20140722,RIAILs,2,h,zinc,1percwater,18,B,3,QX529,2,median.norm.EXT,-0.1935725518886707
20140630,RIAILs,2,a,zinc,1percwater,18,B,3,QX553,2,median.TOF,3.3140813139370513
20140701,RIAILs,2,b,zinc,1percwater,18,B,3,QX158,1,median.TOF,21.569802490540756
20140707,RIAILs,2,c,zinc,1percwater,18,B,3,QX245,2,median.TOF,-1.2652164144270168
20140708,RIAILs,2,d,zinc,1percwater,18,B,3,QX399,2,median.TOF,9.993018948457587
20140714,RIAILs,2,e,zinc,1percwater,18,B,3,QX506,2,median.TOF,15.669750374473782
20140715,RIAILs,2,f,zinc,1percwater,18,B,3,QX37,1,median.TOF,-35.93252690735432
20140721,RIAILs,2,g,zinc,1percwater,18,B,3,QX487,2,median.TOF,-0.6534439388947586
20140722,RIAILs,2,h,zinc,1percwater,18,B,3,QX529,2,median.TOF,-24.65523276102474
20140630,RIAILs,2,a,zinc,1percwater,18,B,3,QX553,2,norm.n,-0.5693036245283175
20140701,RIAILs,2,b,zinc,1percwater,18,B,3,QX158,1,norm.n,-3.310522231566252
20140707,RIAILs,2,c,zinc,1percwater,18,B,3,QX245,2,norm.n,8.516251590682614
20140708,RIAILs,2,d,zinc,1percwater,18,B,3,QX399,2,norm.n,-14.470974839104782
20140714,RIAILs,2,e,zinc,1percwater,18,B,3,QX506,2,norm.n,-37.92356625121706
20140715,RIAILs,2,f,zinc,1percwater,18,B,3,QX37,1,norm.n,-2.9149207486436493
20140721,RIAILs,2,g,zinc,1percwater,18,B,3,QX487,2,norm.n,1.652737512702574
20140722,RIAILs,2,h,zinc,1percwater,18,B,3,QX529,2,norm.n,-2.674429989057302
20140630,RIAILs,2,a,zinc,1percwater,18,B,5,QX315,2,median.EXT,18.163044313389115
20140701,RIAILs,2,b,zinc,1percwater,18,B,5,QX404,2,median.EXT,62.2141415000959
20140707,RIAILs,2,c,zinc,1percwater,18,B,5,QX521,2,median.EXT,47.78841949736566
20140708,RIAILs,2,d,zinc,1percwater,18,B,5,QX305,2,median.EXT,112.50557050962823
20140714,RIAILs,2,e,zinc,1percwater,18,B,5,N2,NA,median.EXT,69.57851652467684
20140721,RIAILs,2,g,zinc,1percwater,18,B,5,QX492,2,median.EXT,-0.17945051252277067
20140630,RIAILs,2,a,zinc,1percwater,18,B,5,QX315,2,median.norm.EXT,-0.03132698786200431
20140701,RIAILs,2,b,zinc,1percwater,18,B,5,QX404,2,median.norm.EXT,0.2239765030662084
20140707,RIAILs,2,c,zinc,1percwater,18,B,5,QX521,2,median.norm.EXT,0.10194049366667257
20140708,RIAILs,2,d,zinc,1percwater,18,B,5,QX305,2,median.norm.EXT,0.4121402868529544
20140714,RIAILs,2,e,zinc,1percwater,18,B,5,N2,NA,median.norm.EXT,0.12634402829179062
20140721,RIAILs,2,g,zinc,1percwater,18,B,5,QX492,2,median.norm.EXT,-0.005637112488815099
20140630,RIAILs,2,a,zinc,1percwater,18,B,5,QX315,2,median.TOF,2.8985599319110227
20140701,RIAILs,2,b,zinc,1percwater,18,B,5,QX404,2,median.TOF,7.435101626774759
20140707,RIAILs,2,c,zinc,1percwater,18,B,5,QX521,2,median.TOF,10.088663931079383
20140708,RIAILs,2,d,zinc,1percwater,18,B,5,QX305,2,median.TOF,42.02727532064041
20140714,RIAILs,2,e,zinc,1percwater,18,B,5,N2,NA,median.TOF,22.057499654668785
20140721,RIAILs,2,g,zinc,1percwater,18,B,5,QX492,2,median.TOF,-0.32201373734935995
20140630,RIAILs,2,a,zinc,1percwater,18,B,5,QX315,2,norm.n,-32.850378226301025
20140701,RIAILs,2,b,zinc,1percwater,18,B,5,QX404,2,norm.n,18.312130954635027
20140707,RIAILs,2,c,zinc,1percwater,18,B,5,QX521,2,norm.n,10.288868012256875
20140708,RIAILs,2,d,zinc,1percwater,18,B,5,QX305,2,norm.n,4.228595473359304
20140714,RIAILs,2,e,zinc,1percwater,18,B,5,N2,NA,norm.n,4.193996555148452
20140721,RIAILs,2,g,zinc,1percwater,18,B,5,QX492,2,norm.n,9.225067475919573
20140701,RIAILs,2,b,zinc,1percwater,18,B,7,QX402,2,median.EXT,-15.720992594943825
20140707,RIAILs,2,c,zinc,1percwater,18,B,7,QX15,1,median.EXT,-16.73859192823014
20140708,RIAILs,2,d,zinc,1percwater,18,B,7,QX363,2,median.EXT,35.33846006645669
