date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,dose
NA,NA,NA,NA,22,zinc,NA,N2,F,7,norm.n,102,0
NA,NA,NA,NA,22,zinc,water,N2,F,8,norm.n,139,250
NA,NA,NA,NA,22,zinc,water,N2,F,9,norm.n,68,500
NA,NA,NA,NA,22,zinc,NA,CB4856,G,1,norm.n,123,0
NA,NA,NA,NA,22,zinc,water,JU258,G,10,norm.n,62,750
NA,NA,NA,NA,22,zinc,water,JU258,G,11,norm.n,36,1000
NA,NA,NA,NA,22,zinc,water,CB4856,G,2,norm.n,104,250
NA,NA,NA,NA,22,zinc,water,CB4856,G,3,norm.n,89,500
NA,NA,NA,NA,22,zinc,water,CB4856,G,4,norm.n,76,750
NA,NA,NA,NA,22,zinc,water,CB4856,G,5,norm.n,56.333333333333336,1000
NA,NA,NA,NA,22,zinc,NA,JU258,G,7,norm.n,110.33333333333333,0
NA,NA,NA,NA,22,zinc,water,JU258,G,8,norm.n,72.66666666666667,250
NA,NA,NA,NA,22,zinc,water,JU258,G,9,norm.n,64,500
NA,NA,NA,NA,22,zinc,NA,N2,H,1,norm.n,124.33333333333333,0
NA,NA,NA,NA,22,zinc,water,DL238,H,10,norm.n,85.66666666666667,750
NA,NA,NA,NA,22,zinc,water,DL238,H,11,norm.n,70,1000
NA,NA,NA,NA,22,zinc,water,N2,H,2,norm.n,114.33333333333333,250
NA,NA,NA,NA,22,zinc,water,N2,H,3,norm.n,87,500
NA,NA,NA,NA,22,zinc,water,N2,H,4,norm.n,52.333333333333336,750
NA,NA,NA,NA,22,zinc,water,N2,H,5,norm.n,47.333333333333336,1000
NA,NA,NA,NA,22,zinc,NA,DL238,H,7,norm.n,93,0
NA,NA,NA,NA,22,zinc,water,DL238,H,8,norm.n,99,250
NA,NA,NA,NA,22,zinc,water,DL238,H,9,norm.n,93.33333333333333,500
